purchase_number;file_name;file_path
32514539667;Закупка № 32514539667 НМЦД_.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514539667 НМЦД_.docx
32514551447;Закупка № 32514551447 Приложение к извещению - обоснование НМЦД.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514551447 Приложение к извещению - обоснование НМЦД.docx
32514576304;Закупка № 32514576304 VI. ОБОСНОВАНИЕ НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514576304 VI. ОБОСНОВАНИЕ НМЦК.docx
32514604236;Закупка № 32514604236 Прил.№9 к ДоЗ - Обоснование 4044.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514604236 Прил.№9 к ДоЗ - Обоснование 4044.docx
32514635550;Закупка № 32514635550 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514635550 Расчет НМЦ конкурентной закупки.docx
32514694816;Закупка № 32514694816 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514694816 Расчет НМЦ конкурентной закупки.docx
32514694822;Закупка № 32514694822 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514694822 Расчет НМЦ конкурентной закупки.docx
32514729585;Закупка № 32514729585 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514729585 Расчет НМЦ конкурентной закупки.docx
32514799319;Закупка № 32514799319 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514799319 Расчет НМЦ конкурентной закупки.docx
32514804863;Закупка № 32514804863 Приложение №9 к ДоЗ - Обоснование НМЦ.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514804863 Приложение №9 к ДоЗ - Обоснование НМЦ.docx
32514827135;Закупка № 32514827135 Приложение 4 Обоснование начальной (максимальной) цены договора.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514827135 Приложение 4 Обоснование начальной (максимальной) цены договора.docx
32514827162;Закупка № 32514827162 Приложение 4 Обоснование начальной (максимальной) цены договора.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514827162 Приложение 4 Обоснование начальной (максимальной) цены договора.docx
32514832689;Закупка № 32514832689 Расчет НМЦД лодки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514832689 Расчет НМЦД лодки.docx
32514868440;Закупка № 32514868440 расчет НМЦ.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514868440 расчет НМЦ.doc
32514873316;Закупка № 32514873316 Приложение к Извещению - обоснование НМЦД СЗбф 131-25.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514873316 Приложение к Извещению - обоснование НМЦД СЗбф 131-25.docx
32514895141;Закупка № 32514895141 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514895141 Расчет НМЦ конкурентной закупки.docx
32514899001;Закупка № 32514899001 Обоснование  цены  договора.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514899001 Обоснование  цены  договора.docx
32514922637;Закупка № 32514922637 Расчет-обоснование_НМЦД_(копия).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514922637 Расчет-обоснование_НМЦД_(копия).docx
32514947435;Закупка № 32514947435 Приложение №9 Обоснование НМЦ.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514947435 Приложение №9 Обоснование НМЦ.docx
32514953432;Закупка № 32514953432 Приложение к Извещению Расчет НМЦД.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514953432 Приложение к Извещению Расчет НМЦД.docx
32514972373;Закупка № 32514972373 Приложение к извещению Расчет НМЦД.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514972373 Приложение к извещению Расчет НМЦД.docx
32514987590;Закупка № 32514987590 Приложение к Извещению - обоснование НМЦД СЗбф 147-25.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514987590 Приложение к Извещению - обоснование НМЦД СЗбф 147-25.docx
32514995283;Закупка № 32514995283 расчет НМЦ буй БММЛ88 2025.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514995283 расчет НМЦ буй БММЛ88 2025.docx
32514995372;Закупка № 32514995372 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514995372 Расчет НМЦ конкурентной закупки.docx
32515017908;Закупка № 32515017908 НМЦД_боновые_заграждения.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32515017908 НМЦД_боновые_заграждения.doc
