purchase_number;articles_found;orders_found;status;file_name;file_path;article_snippets;order_snippets;source_file
32514953432;;;;Закупка № 32514953432 Приложение к Извещению Расчет НМЦД.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514953432 Приложение к Извещению Расчет НМЦД.docx;;;not_found_any_doc.csv
32514922637;;;;Закупка № 32514922637 Расчет-обоснование_НМЦД_(копия).docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514922637 Расчет-обоснование_НМЦД_(копия).docx;;;not_found_any_doc.csv
32514427029;;;;Закупка № 32514427029 Расчет_НМЦ[5].xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514427029 Расчет_НМЦ[5].xlsx;;;not_found_any.csv
32514868440;;;;Закупка № 32514868440 расчет НМЦ.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514868440 расчет НМЦ.doc;;;not_found_any_doc.csv
32514635550;;;;Закупка № 32514635550 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514635550 Расчет НМЦ конкурентной закупки.docx;;;not_found_any_doc.csv
32514947435;;;;Закупка № 32514947435 Форма Коммерческого предложения и Структуры НМЦ.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514947435 Форма Коммерческого предложения и Структуры НМЦ.xlsx;;;not_found_any.csv
32514853166;;;;Закупка № 32514853166 Приложение №5 - Расчет НМЦ - поставка лодок и моторов.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514853166 Приложение №5 - Расчет НМЦ - поставка лодок и моторов.xlsx;;;not_found_any.csv
32514551447;;;;Закупка № 32514551447 Приложение к извещению - обоснование НМЦД.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514551447 Приложение к извещению - обоснование НМЦД.docx;;;not_found_any_doc.csv
32514694822;;;;Закупка № 32514694822 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514694822 Расчет НМЦ конкурентной закупки.docx;;;not_found_any_doc.csv
32514449325;;;;Закупка № 32514449325 Расчет НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514449325 Расчет НМЦК.xlsx;;;not_found_any.csv
32514987590;;;;Закупка № 32514987590 Приложение к Извещению - обоснование НМЦД СЗбф 147-25.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514987590 Приложение к Извещению - обоснование НМЦД СЗбф 147-25.docx;;;not_found_any_doc.csv
32514972373;;;;Закупка № 32514972373 Приложение к извещению Расчет НМЦД.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514972373 Приложение к извещению Расчет НМЦД.docx;;;not_found_any_doc.csv
32514830536;;;;Закупка № 32514830536 Расчет НМЦ.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514830536 Расчет НМЦ.pdf;;;not_found_any_pdf.csv
32514914675;;567;orders;Закупка № 32514914675 Приложение № 3 НМЦД буй с якорем.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514914675 Приложение № 3 НМЦД буй с якорем.xls;;567: тствии с приказом МЭР РФ от 02.10.2013 №567;found_any.csv
32514847797;;567;orders;Закупка № 32514847797 3._РАСЧЕТ_НМЦ понтон.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514847797 3._РАСЧЕТ_НМЦ понтон.xlsx;;"567: инэкономразвития России от 02.10.2013 N 567 ""Об утверждении Методических рекомендац";found_any.csv
32514605150;;;;Закупка № 32514605150 Обоснование НМЦД.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514605150 Обоснование НМЦД.pdf;;;not_found_any_pdf.csv
32514827135;;;;Закупка № 32514827135 Приложение 4 Обоснование начальной (максимальной) цены договора.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514827135 Приложение 4 Обоснование начальной (максимальной) цены договора.docx;;;not_found_any_doc.csv
32514804863;;;;Закупка № 32514804863 Форма Коммерческого предложения и Структуры НМЦ .xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514804863 Форма Коммерческого предложения и Структуры НМЦ .xlsx;;;not_found_any.csv
32514825767;22;567;orders+article;Закупка № 32514825767 НМЦК_МУП--Арктика-.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514825767 НМЦК_МУП--Арктика-.xlsx;22: ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с;567: жденными приказом МЭР РФ от 02.10.2013 №567;found_any.csv
32514774803;;;;Закупка № 32514774803 Обоснование НМЦД.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514774803 Обоснование НМЦД.xlsx;;;not_found_any.csv
32514878313;;;;Закупка № 32514878313 Копия_Обоснование_НМЦК_закупки__на_поставку_конвектора_для_УОК_(к_докумненту__Закупка__Поставка_плавучего_модульного_сборно-разборно.XLS;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514878313 Копия_Обоснование_НМЦК_закупки__на_поставку_конвектора_для_УОК_(к_докумненту__Закупка__Поставка_плавучего_модульного_сборно-разборно.XLS;;;not_found_any.csv
32514694816;;;;Закупка № 32514694816 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514694816 Расчет НМЦ конкурентной закупки.docx;;;not_found_any_doc.csv
32514995372;;;;Закупка № 32514995372 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514995372 Расчет НМЦ конкурентной закупки.docx;;;not_found_any_doc.csv
32514799319;;;;Закупка № 32514799319 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514799319 Расчет НМЦ конкурентной закупки.docx;;;not_found_any_doc.csv
32514604236;;;;Закупка № 32514604236 Прил.№9 к ДоЗ - Обоснование 4044.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514604236 Прил.№9 к ДоЗ - Обоснование 4044.docx;;;not_found_any_doc.csv
32514971482;;;;Закупка № 32514971482 Приложение 3 Обоснование НМЦД-цены единицы ТРУ коррект.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514971482 Приложение 3 Обоснование НМЦД-цены единицы ТРУ коррект.xlsx;;;not_found_any.csv
32514729585;;;;Закупка № 32514729585 Расчет НМЦ конкурентной закупки.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514729585 Расчет НМЦ конкурентной закупки.docx;;;not_found_any_doc.csv
32514567643;;567;orders;Закупка № 32514567643 24.Обоснование НМЦК 18.02.25 (экипировка и инвентарь гребной слалом гос.поддержка котировка).xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514567643 24.Обоснование НМЦК 18.02.25 (экипировка и инвентарь гребной слалом гос.поддержка котировка).xls;;"567: Минэкономразвития  России от 2.10.2013 №567 ""Об утверждении методических рекомендац";found_any.csv
32514827162;;;;Закупка № 32514827162 Приложение 4 Обоснование начальной (максимальной) цены договора.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514827162 Приложение 4 Обоснование начальной (максимальной) цены договора.docx;;;not_found_any_doc.csv
32514471543;;;;Закупка № 32514471543 Раздел VII НМЦД.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514471543 Раздел VII НМЦД.xls;;;not_found_any.csv
32514693962;;567;orders;Закупка № 32514693962 Расчет и обоснование НМЦК-1.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\223- фз\Закупка № 32514693962 Расчет и обоснование НМЦК-1.xlsx;;567: аза Минэкономразвития  от 02.10.2013г. №567.;found_any.csv
