Форматы файлов;Количество;;Папок;Файлов
docx;575;;442;918
pdf;207;;;
doc;84;;;
xlsx;21;;;
xls;8;;;
zip;8;;;
rar;7;;;
html;3;;;
rtf;2;;;
odt;1;;;
7z;1;;;
ods;1;;;
Итог;918;;;
