purchase_number;articles_found;orders_found;status;file_name;file_path;article_snippets;order_snippets
0131200001025005185;22;567;orders+article;Закупка № 0131200001025005185 Приложение 2 - Обоснование НМЦК_05721.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0131200001025005185 Приложение 2 - Обоснование НМЦК_05721.xls;22: асчет НМЦК произведен в соответствии со ст. 22 Федерального закона от 05.04.2013 г. № ;"567: инэкономразвития России от 02.10.2013 N 567 ""Об утверждении Методических рекомендац"
0142300006225000066;22;;article;Закупка № 0142300006225000066 Обоснование НМЦК(1).xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0142300006225000066 Обоснование НМЦК(1).xlsx;22: анализ рынка) в соответствии с частью 6 статьи 22 Федерального закона от 05.04.2013 № 44-;
0142300006225000072;22;;article;Закупка № 0142300006225000072 Обоснование НМЦК(1).xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0142300006225000072 Обоснование НМЦК(1).xlsx;22: анализ рынка) в соответствии с частью 6 статьи 22 Федерального закона от 05.04.2013 № 44-;
0142300006225000081;22;;article;Закупка № 0142300006225000081 Обоснование НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0142300006225000081 Обоснование НМЦК.xlsx;22: анализ рынка) в соответствии с частью 6 статьи 22 Федерального закона от 05.04.2013 № 44-;
0153300007625000035;22;567;orders+article;Закупка № 0153300007625000035 НМЦК_Приобретение-лодки-для-ЕДДС-Бузулукского-района.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0153300007625000035 НМЦК_Приобретение-лодки-для-ЕДДС-Бузулукского-района.xlsx;22: ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с;567: жденными приказом МЭР РФ от 02.10.2013 №567
0163600007425000012;22;567;orders+article;Закупка № 0163600007425000012 НМЦК 2.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0163600007425000012 НМЦК 2.xlsx;22: ом, исполнителем) (в соответствии с п.6 ст.22 44-ФЗ) Расчет выполнен в соответствии с;567: жденными приказом МЭР РФ от 02.10.2013 №567
0169300000325000385;22;567;orders+article;Закупка № 0169300000325000385 Приложение №2_к_извещению_Обоснование_НМЦК.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0169300000325000385 Приложение №2_к_извещению_Обоснование_НМЦК.xls;22: шей цене) в соответствии с требованиями статьи 22 закона № 44-ФЗ.   | чета НМЦК в соответствии с требованиями статьи 22 закона № 44-ФЗ. ;"567: инэкономразвития России от 02.10.2013 № 567 "" Об утверждении методических рекоменда | инэкономразвития россии от 02.10.2013 № 567 "" Об утверждении методических рекоменда"
0169300000325000410;22;567;orders+article;Закупка № 0169300000325000410 Приложение №2 к извещению - Обоснование НМЦК.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0169300000325000410 Приложение №2 к извещению - Обоснование НМЦК.xls;22: шей цене) в соответствии с требованиями статьи 22 закона № 44-ФЗ.   | чета НМЦК в соответствии с требованиями статьи 22 закона № 44-ФЗ. ;"567: инэкономразвития России от 02.10.2013 № 567 "" Об утверждении методических рекоменда | инэкономразвития россии от 02.10.2013 № 567 "" Об утверждении методических рекоменда"
0169300008225000266;;567;orders;Закупка № 0169300008225000266 Приложение 2 - Обоснование НМЦК.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0169300008225000266 Приложение 2 - Обоснование НМЦК.xlsx;;"567: инэкономразвития России от 02.10.2013 N 567 ""Об утверждении методических рекомендац"
0169300028125000166;;567;orders;Закупка № 0169300028125000166 Обоснование Н(М)ЦК - ПО_КСЭОН (1) (2).xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0169300028125000166 Обоснование Н(М)ЦК - ПО_КСЭОН (1) (2).xlsx;;"567: Минэкономразвития России от 02.10.2013 №567 ""Об утверждении Методических рекомендац"
0174500001125003857;22;567;orders+article;Закупка № 0174500001125003857 07.07 НМЦК лодкка.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0174500001125003857 07.07 НМЦК лодкка.xlsx;22: ен (анализа рынка) В соответствии с ч.6 статьи 22 Федерального закона от 05.04.2013 N 44-;567: кого развития РФ от 2 октября 2013 г. № 567 «Об утверждении Методических рекомендац
0187300006525000385;;567;orders;Закупка № 0187300006525000385 Приложение 2. НМЦК надувная лодка.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0187300006525000385 Приложение 2. НМЦК надувная лодка.xls;;567: инэкономразвития России от 02.10.2013 N 567), так как указанный метод является прио
