purchase_number;articles_found;orders_found;status;file_name;file_path;article_snippets;order_snippets;source_file
0369300199325000012;;567;orders;Закупка № 0369300199325000012.xls;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0369300199325000012.xls;;"567: инэкономразвития России от 02.10.2013 N 567 ""Об утверждении Методических рекомендац";found_any.csv
0130300016825000003;;639;orders;Закупка № 0130300016825000003 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0130300016825000003 Обоснование НМЦК.docx;;639: зом Минпромторга России от 28.02.2023 № 639 «Об утверждении Порядка определения нач;found_any_doc.csv
0330300051225000044;;;;Закупка № 0330300051225000044 Приложение 1 НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0330300051225000044 Приложение 1 НМЦК.pdf;;;not_found_any_pdf.csv
0860200000825002601;;;;Закупка № 0860200000825002601 ПРИЛОЖЕНИЕ № 2 Обоснование начальной (максимальной) цены контракта.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0860200000825002601 ПРИЛОЖЕНИЕ № 2 Обоснование начальной (максимальной) цены контракта.docx;;;not_found_any_doc.csv
0373100089325000006;22;567;orders+article;Закупка № 0373100089325000006 Приложение № 2. Обоснование расчета НМЦК Земснаряд.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0373100089325000006 Приложение № 2. Обоснование расчета НМЦК Земснаряд.xlsx;22: В соответствии со статьей 22 Федерального закона от 05.04.2013 года ;567: ва экономического развития РФ (Приказ № 567 от 02.10.2013). Обоснование и расчет на;found_any.csv
0373100089325000018;22;567;orders+article;Закупка № 0373100089325000018 Приложение № 2. Обоснование расчета НМЦК Земснаряд.xlsx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0373100089325000018 Приложение № 2. Обоснование расчета НМЦК Земснаряд.xlsx;22: В соответствии со статьей 22 Федерального закона от 05.04.2013 года ;567: ва экономического развития РФ (Приказ № 567 от 02.10.2013). Обоснование и расчет на;found_any.csv
0145200000425000608;22|34;567|639;orders+article;Закупка № 0145200000425000608 Приложение 2 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0145200000425000608 Приложение 2 Обоснование НМЦК.docx;22: боснована в соответствии с требованиями статьи 22 Федерального закона от 05.04.2013 г. №  || 34: ости закупок, а также в соответствии со ст. 34 Бюджетного кодекса РФ и с учетом выделе;"567: ия Российской Федерации от 02.10.2013 № 567 ""Об утверждении методических рекомендац || 639: и и торговли РФ от 28 февраля 2023 г. N 639 посредством применения метода сопостави";found_any_doc.csv
0173100005025000009;;639;orders;Закупка № 0173100005025000009 2. Приложение № 2 к Извещению_Катера_Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0173100005025000009 2. Приложение № 2 к Извещению_Катера_Обоснование НМЦК.doc;;639: зом Минпромторга России от 28.02.2023 № 639 «Об утверждении Порядка определения нач;found_any_doc.csv
0173100005025000013;;639;orders;Закупка № 0173100005025000013 2. Приложение № 2 к Извещению_Катера_Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0173100005025000013 2. Приложение № 2 к Извещению_Катера_Обоснование НМЦК.doc;;639: зом Минпромторга России от 28.02.2023 № 639 «Об утверждении Порядка определения нач;found_any_doc.csv
0888500000225000136;22;;article;Закупка № 0888500000225000136 1. Обоснование НМЦК.doc;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0888500000225000136 1. Обоснование НМЦК.doc;22: ны установленные в соответствии с ч. 25 ст. 22 Закона № 44-ФЗ в пп. «в» п. 7 постановл;;found_any_doc.csv
0356500001425004169;;;;Закупка № 0356500001425004169 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0356500001425004169 Обоснование НМЦК.pdf;;;not_found_any_pdf.csv
0145200000425000439;22|34;567|639;orders+article;Закупка № 0145200000425000439 Приложение 2 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0145200000425000439 Приложение 2 Обоснование НМЦК.docx;22: боснована в соответствии с требованиями статьи 22 Федерального закона от 05.04.2013 г. №  || 34: ости закупок, а также в соответствии со ст. 34 Бюджетного кодекса РФ и с учетом выделе;"567: ия Российской Федерации от 02.10.2013 № 567 ""Об утверждении методических рекомендац || 639: и и торговли РФ от 28 февраля 2023 г. N 639 посредством применения метода сопостави";found_any_doc.csv
0145200000425000756;22|34;567|639;orders+article;Закупка № 0145200000425000756 Приложение 2 Обоснование НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0145200000425000756 Приложение 2 Обоснование НМЦК.docx;22: боснована в соответствии с требованиями статьи 22 Федерального закона от 05.04.2013 г. №  || 34: ости закупок, а также в соответствии со ст. 34 Бюджетного кодекса РФ и с учетом выделе;"567: ия Российской Федерации от 02.10.2013 № 567 ""Об утверждении методических рекомендац || 639: и и торговли РФ от 28 февраля 2023 г. N 639 посредством применения метода сопостави";found_any_doc.csv
0372200084225000024;22;567;orders+article;Закупка № 0372200084225000024 Приложение_№_2_к_извещению_Обоснование_НМЦК.docx;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0372200084225000024 Приложение_№_2_к_извещению_Обоснование_НМЦК.docx;22: за рынка) в соответствии с требованиями статьи 22 Федерального закона от 05.04.2013  № 44;567: ия Российской Федерации от 02.10.2013 № 567 «Об утверждении методических рекомендац | В соответствии с п.3.7 Приказа №567 в целях получения ценовой информации в ;found_any_doc.csv
0348200077025000010;;567;orders;Закупка № 0348200077025000010 Обоснование НМЦК.pdf;C:\Users\Sergey\MAGA\Kimch\НМЦК_сборка\44-фз\Закупка № 0348200077025000010 Обоснование НМЦК.pdf;;567: ия Российской Федерации от 02.10.2013 № 567 «Об  утверждении методических рекоменда;found_any_pdf.csv
